authorID,new_country_code,new_afftype,gender_prediction,race_prediction,race
10.1093/joc/jqz052+32.0,GB,Education,F,0.0,White
10.1093/joc/jqab010+1.0,US,Education,M,0.0,White
10.1093/joc/jqab002+6.0,US,Education,M,0.0,White
10.1093/hcr/hqaa013+1.0,NL,Education,F,0.0,White
10.1093/joc/jqab026+4.0,US,Education,F,0.0,White
10.1093/ccc/tcab038+1.0,US,Education,F,2.0,Asian
10.1093/jcmc/zmab002+4.0,US,Education,M,0.0,White
10.1093/joc/jqab021+1.0,IL,Education,M,4.0,Middle Eastern
10.1093/joc/jqab029+12.0,CN,Education,F,0.0,White
10.1093/jcmc/zmab007+3.0,US,Education,F,0.0,White
10.1093/joc/jqz052+31.0,CN,Education,M,2.0,Asian
10.1093/jcmc/zmab005+2.0,CN,Education,F,2.0,Asian
10.1093/hcr/hqaa014+7.0,DE,Education,M,0.0,White
10.1093/ct/qtaa016+1.0,KR,Education,M,0.0,White
10.1093/hcr/hqab009+3.0,US,Education,M,0.0,White
10.1093/joc/jqz052+33.0,SG,Education,F,2.0,Asian
10.1093/jcmc/zmaa015+2.0,CN,Education,M,2.0,Asian
10.1093/joc/jqab035+4.0,US,Education,F,0.0,White
10.1093/jcmc/zmab007+4.0,US,Education,M,0.0,White
10.1093/joc/jqab029+5.0,GB,Education,M,0.0,White
10.1093/joc/jqab009+3.0,US,Education,F,0.0,White
10.1093/ct/qtz022+1.0,US,Education,M,0.0,White
10.1093/joc/jqab037+1.0,US,Education,F,3.0,Hispanic
10.1093/ct/qtaa030+1.0,CH,Education,M,0.0,White
10.1093/ct/qtaa027+1.0,NZ,Education,F,0.0,White
10.1093/joc/jqab003+4.0,NL,Education,F,0.0,White
10.1093/joc/jqz052+12.0,DE,Education,M,0.0,White
10.1093/jcmc/zmab007+1.0,US,Education,F,2.0,Asian
10.1093/hcr/hqaa009+1.0,PH,Education,M,2.0,Asian
10.1093/joc/jqaa041+2.0,US,Education,M,0.0,White
10.1093/joc/jqab023+4.0,US,Education,F,2.0,Asian
10.1093/joc/jqz052+37.0,NL,Education,M,0.0,White
10.1093/joc/jqab035+3.0,US,Education,M,0.0,White
10.1093/joc/jqab026+1.0,US,Education,F,0.0,White
10.1093/joc/jqz052+1.0,DE,Education,M,0.0,White
10.1093/joc/jqab023+3.0,US,Education,F,0.0,White
10.1093/joc/jqab029+4.0,US,Education,M,1.0,Black
10.1093/ct/qtz024+3.0,US,Education,M,0.0,White
10.1093/jcmc/zmab006+3.0,NL,Education,M,0.0,White
10.1093/hcr/hqab001+1.0,US,Education,M,0.0,White
10.1093/joc/jqab008+1.0,CN,Education,M,2.0,Asian
10.1093/joc/jqab029+6.0,US,Education,F,2.0,Asian
10.1093/joc/jqz052+22.0,DE,Education,F,0.0,White
10.1093/joc/jqab021+2.0,IL,Education,F,0.0,White
10.1093/jcmc/zmab005+1.0,US,Education,F,2.0,Asian
10.1093/ct/qtaa018+1.0,NO,Education,F,0.0,White
10.1093/joc/jqab029+10.0,NL,Education,F,0.0,White
10.1093/joc/jqab030+2.0,KR,Education,M,2.0,Asian
10.1093/hcr/hqab001+2.0,US,Education,M,0.0,White
10.1093/joc/jqab021+5.0,IL,Education,F,2.0,Asian
10.1093/joc/jqab008+2.0,CN,Education,M,2.0,Asian
10.1093/ct/qtaa015+1.0,AT,Education,M,0.0,White
10.1093/ccc/tcaa002+1.0,US,Education,F,0.0,White
10.1093/ccc/tcab050+2.0,GB,Education,F,0.0,White
10.1093/jcmc/zmab010+2.0,US,Education,F,3.0,Hispanic
10.1093/ct/qtz036+1.0,US,Education,M,0.0,White
10.1093/jcmc/zmab003+2.0,SG,Education,M,2.0,Asian
10.1093/jcmc/zmaa020+2.0,US,Education,M,2.0,Asian
10.1093/joc/jqaa042+8.0,US,Education,M,0.0,White
10.1093/joc/jqaa039+5.0,NL,Education,F,0.0,White
10.1093/hcr/hqaa011+1.0,US,Education,M,0.0,White
10.1093/ct/qtz038+2.0,US,Education,F,1.0,Black
10.1093/ct/qtaa004+1.0,DK,Education,F,0.0,White
10.1093/ccc/tcab006+1.0,US,Education,F,0.0,White
10.1093/jcmc/zmaa014+4.0,DE,Education,M,0.0,White
10.1093/jcmc/zmab010+3.0,US,Education,F,2.0,Asian
10.1093/ccc/tcab046+1.0,CN,Education,F,0.0,White
10.1093/joc/jqab005+4.0,DE,Education,M,0.0,White
10.1093/ccc/tcaa033+1.0,US,Education,F,1.0,Black
10.1093/hcr/hqab010+1.0,IL,Education,F,0.0,White
10.1093/joc/jqab034+3.0,US,Education,M,0.0,White
10.1093/jcmc/zmab012+2.0,FI,Education,M,0.0,White
10.1093/jcmc/zmab003+1.0,SG,Education,M,2.0,Asian
10.1093/joc/jqab029+9.0,US,Education,F,0.0,White
10.1093/hcr/hqab003+2.0,GB,Education,F,0.0,White
10.1093/joc/jqab029+13.0,US,Education,M,2.0,Asian
10.1093/hcr/hqaa011+2.0,US,Education,M,2.0,Asian
10.1093/ccc/tcab039+1.0,US,Education,M,2.0,Asian
10.1093/joc/jqab014+1.0,DE,Education,M,0.0,White
10.1093/joc/jqab034+2.0,US,Education,M,0.0,White
10.1093/joc/jqz052+34.0,US,Education,F,0.0,White
10.1093/ct/qtz024+1.0,US,Education,M,2.0,Asian
10.1093/joc/jqab023+2.0,US,Education,M,0.0,White
10.1093/hcr/hqaa014+3.0,NL,Education,M,0.0,White
10.1093/joc/jqab013+3.0,US,Education,F,0.0,White
10.1093/joc/jqz052+2.0,GB,Education,M,0.0,White
10.1093/ct/qtaa005+3.0,US,Education,M,0.0,White
10.1093/ct/qtab001+3.0,US,Education,F,1.0,Black
10.1093/jcmc/zmab002+1.0,US,Education,F,2.0,Asian
10.1093/ccc/tcab047+1.0,US,Education,M,0.0,White
10.1093/joc/jqab015+1.0,US,Education,F,2.0,Asian
10.1093/joc/jqab019+1.0,US,Education,M,2.0,Asian
10.1093/joc/jqab029+3.0,US,Education,F,0.0,White
10.1093/hcr/hqaa015+7.0,US,Education,F,0.0,White
10.1093/ct/qtaa006+1.0,US,Education,F,3.0,Hispanic
10.1093/ct/qtz030+1.0,US,Education,M,0.0,White
10.1093/joc/jqaa037+2.0,US,Education,F,0.0,White
10.1093/hcr/hqaa004+3.0,US,Education,M,0.0,White
10.1093/joc/jqaa004+1.0,US,Education,M,0.0,White
10.1093/joc/jqaa010+1.0,US,Education,M,0.0,White
10.1093/ccc/tcaa005+1.0,US,Education,M,0.0,White
10.1093/hcr/hqaa008+6.0,CO,Education,F,0.0,White
10.1093/joc/jqz042+2.0,US,Education,F,2.0,Asian
10.1093/hcr/hqz020+1.0,US,Education,M,0.0,White
10.1093/joc/jqaa007+5.0,US,Education,M,0.0,White
10.1093/joc/jqaa013+1.0,US,Education,M,4.0,Middle Eastern
10.1093/joc/jqaa009+2.0,AT,Education,M,0.0,White
10.1093/ccc/tcaa003+3.0,US,Education,M,1.0,Black
10.1093/hcr/hqz022+2.0,US,Education,M,0.0,White
10.1093/ct/qtz023+1.0,US,Education,M,0.0,White
10.1093/jcmc/zmz018+1.0,US,Education,M,0.0,White
10.1093/hcr/hqz023+3.0,US,Education,F,2.0,Asian
10.1093/ccc/tcaa003+1.0,US,Education,M,0.0,White
10.1093/ct/qtz006+1.0,US,Education,M,0.0,White
10.1093/joc/jqaa005+5.0,US,Education,M,2.0,Asian
10.1093/ct/qtz031+1.0,NL,Education,M,0.0,White
10.1093/ccc/tcz048+1.0,US,Education,F,0.0,White
10.1093/hcr/hqz012+3.0,US,Education,M,0.0,White
10.1093/ccc/tcz035+1.0,AU,Education,M,0.0,White
10.1093/hcr/hqaa004+1.0,US,Education,M,0.0,White
10.1093/ct/qtz026+1.0,AU,Education,M,2.0,Asian
10.1093/hcr/hqz022+3.0,US,Education,M,0.0,White
10.1093/hcr/hqz016+1.0,US,Education,M,0.0,White
10.1093/joc/jqaa033+2.0,US,Education,F,2.0,Asian
10.1093/ccc/tcz049+1.0,US,Education,F,0.0,White
10.1093/jcmc/zmaa006+1.0,CL,Education,F,3.0,Hispanic
10.1093/hcr/hqz019+1.0,US,Education,M,0.0,White
10.1093/joc/jqaa007+6.0,US,Education,F,0.0,White
10.1093/ccc/tcz033+2.0,US,Education,M,0.0,White
10.1093/joc/jqaa034+1.0,US,Education,F,0.0,White
10.1093/joc/jqaa013+2.0,US,Education,M,0.0,White
10.1093/ccc/tcaa022+2.0,DE,Non Education,F,4.0,Middle Eastern
10.1093/hcr/hqz013+7.0,US,Education,F,0.0,White
10.1093/jcmc/zmz022+1.0,US,Education,M,0.0,White
10.1093/joc/jqaa011+1.0,NL,Education,F,0.0,White
10.1093/ct/qtz003+2.0,US,Education,F,0.0,White
10.1093/joc/jqaa034+3.0,PH,Education,F,0.0,White
10.1093/hcr/hqz013+5.0,US,Education,F,0.0,White
10.1093/ccc/tcz057+1.0,US,Education,M,2.0,Asian
10.1093/ct/qtz028+1.0,GB,Education,M,0.0,White
10.1093/joc/jqaa020+2.0,NL,Education,M,0.0,White
10.1093/ccc/tcaa006+1.0,US,Education,F,2.0,Asian
10.1093/joc/jqaa032+2.0,CN,Education,M,2.0,Asian
10.1093/ct/qtz028+2.0,DK,Education,M,0.0,White
10.1093/joc/jqaa018+2.0,PH,Education,F,0.0,White
10.1093/jcmc/zmaa007+1.0,AU,Education,F,0.0,White
10.1093/joc/jqaa007+3.0,US,Education,F,0.0,White
10.1093/hcr/hqaa001+1.0,US,Education,M,0.0,White
10.1093/jcmc/zmaa002+1.0,US,Education,M,0.0,White
10.1093/ccc/tcaa006+2.0,CA,Education,F,0.0,White
10.1093/hcr/hqz017+2.0,US,Education,F,2.0,Asian
10.1093/joc/jqaa034+2.0,PH,Education,M,0.0,White
10.1093/jcmc/zmaa006+2.0,NL,Education,F,2.0,Asian
10.1093/joc/jqaa030+3.0,US,Education,F,0.0,White
10.1093/joc/jqaa024+1.0,GE,Education,F,0.0,White
10.1093/hcr/hqaa008+1.0,US,Education,F,2.0,Asian
10.1093/hcr/hqaa005+2.0,US,Education,M,0.0,White
10.1093/hcr/hqaa002+5.0,US,Education,M,0.0,White
10.1093/joc/jqaa019+2.0,SG,Education,F,2.0,Asian
10.1093/jcmc/zmz023+1.0,US,Education,M,2.0,Asian
10.1093/joc/jqz051+1.0,FI,Education,F,0.0,White
10.1093/joc/jqaa007+8.0,NL,Education,F,0.0,White
10.1093/ccc/tcz058+1.0,US,Education,F,1.0,Black
10.1093/ct/qtaa017+1.0,US,Education,M,3.0,Hispanic
10.1093/hcr/hqz013+1.0,US,Education,F,0.0,White
10.1093/ccc/tcz046+1.0,US,Education,M,1.0,Black
10.1093/joc/jqz042+1.0,CN,Education,F,2.0,Asian
10.1093/joc/jqaa019+1.0,SG,Education,F,2.0,Asian
10.1093/hcr/hqaa002+3.0,US,Education,F,0.0,White
10.1093/joc/jqaa030+1.0,US,Education,F,0.0,White
10.1093/ccc/tcaa019+2.0,US,Education,F,2.0,Asian
10.1093/ct/qtz019+1.0,US,Education,M,0.0,White
10.1093/ct/qtz011+1.0,FI,Education,M,0.0,White
10.1093/hcr/hqz012+1.0,US,Education,M,3.0,Hispanic
10.1093/jcmc/zmz023+2.0,US,Education,M,2.0,Asian
10.1093/ccc/tcz042+1.0,US,Education,M,0.0,White
10.1093/ct/qtz029+2.0,NZ,Education,M,0.0,White
10.1093/ccc/tcz032+1.0,US,Education,F,0.0,White
10.1093/joc/jqaa028+1.0,US,Education,F,0.0,White
10.1093/jcmc/zmaa006+4.0,NL,Education,F,0.0,White
10.1093/ct/qtz037+1.0,US,Education,M,0.0,White
10.1093/joc/jqaa029+3.0,NL,Education,M,0.0,White
10.1093/ccc/tcaa010+1.0,US,Education,M,0.0,White
10.1093/ccc/tcz033+1.0,US,Education,F,0.0,White
10.1093/joc/jqaa029+4.0,NL,Education,M,0.0,White
10.1093/jcmc/zmz028+3.0,NL,Education,M,0.0,White
10.1093/jcmc/zmz030+4.0,US,Education,M,0.0,White
10.1093/jcmc/zmaa009+4.0,KR,Education,F,2.0,Asian
10.1093/ct/qtz017+2.0,US,Education,F,0.0,White
10.1093/ccc/tcaa019+3.0,CA,Education,F,0.0,White
10.1093/ccc/tcaa016+1.0,GB,Education,F,3.0,Hispanic
10.1093/jcmc/zmz024+1.0,US,Education,M,0.0,White
10.1093/jcmc/zmaa003+2.0,US,Education,F,0.0,White
10.1093/joc/jqaa005+3.0,US,Education,F,0.0,White
10.1093/joc/jqaa030+2.0,US,Education,M,0.0,White
10.1093/joc/jqaa010+3.0,US,Education,F,0.0,White
10.1093/jcmc/zmaa009+1.0,US,Education,M,0.0,White
10.1093/ccc/tcz031+3.0,US,Education,M,0.0,White
10.1093/ct/qty016+1.0,US,Education,M,2.0,Asian
10.1093/ct/qty034+1.0,US,Education,M,0.0,White
10.1093/joc/jqz039+3.0,US,Education,M,0.0,White
10.1093/joc/jqz033+3.0,US,Education,F,0.0,White
10.1093/ct/qty026+2.0,US,Education,F,0.0,White
10.1093/hcr/hqy020+1.0,US,Education,M,0.0,White
10.1093/joc/jqy061+2.0,CN,Education,M,0.0,White
10.1093/joc/jqz011+3.0,US,Education,F,0.0,White
10.1093/jcmc/zmz003+2.0,US,Education,F,0.0,White
10.1093/hcr/hqz005+3.0,JP,Education,M,2.0,Asian
10.1093/hcr/hqz009+2.0,US,Education,F,2.0,Asian
10.1093/joc/jqz011+1.0,US,Education,F,0.0,White
10.1093/joc/jqz011+2.0,US,Education,F,2.0,Asian
10.1093/jcmc/zmz015+2.0,NL,Non Education,M,0.0,White
10.1093/joc/jqz034+2.0,US,Education,M,0.0,White
10.1093/ccc/tcz020+1.0,US,Education,F,2.0,Asian
10.1093/hcr/hqz010+2.0,US,Education,M,0.0,White
10.1093/hcr/hqy014+3.0,US,Education,M,0.0,White
10.1093/ccc/tcz031+2.0,US,Education,F,0.0,White
10.1093/joc/jqz002+2.0,US,Education,M,0.0,White
10.1093/joc/jqz002+4.0,NZ,Education,M,2.0,Asian
10.1093/hcr/hqy014+2.0,US,Education,M,0.0,White
10.1093/jcmc/zmy022+2.0,SG,Education,F,2.0,Asian
10.1093/jcmc/zmy023+1.0,IL,Education,F,0.0,White
10.1093/jcmc/zmy025+3.0,NL,Education,F,0.0,White
10.1093/joc/jqz035+3.0,US,Education,F,2.0,Asian
10.1093/ccc/tcz003+1.0,US,Education,F,2.0,Asian
10.1093/hcr/hqy016+1.0,NL,Education,F,0.0,White
10.1093/joc/jqz033+5.0,US,Education,M,0.0,White
10.1093/ccc/tcz038+2.0,US,Education,M,0.0,White
10.1093/ct/qty035+2.0,US,Education,F,0.0,White
10.1093/ct/qty020+1.0,FR,Education,M,0.0,White
10.1093/joc/jqz022+1.0,US,Education,M,0.0,White
10.1093/jcmc/zmz013+4.0,CN,Education,M,2.0,Asian
10.1093/joc/jqz035+4.0,US,Education,M,0.0,White
10.1093/joc/jqy065+1.0,US,Education,F,1.0,Black
10.1093/joc/jqz006+2.0,DK,Education,F,0.0,White
10.1093/ccc/tcz006+1.0,US,Education,F,0.0,White
10.1093/ct/qty032+2.0,US,Education,F,0.0,White
10.1093/joc/jqz012+2.0,CN,Education,M,2.0,Asian
10.1093/jcmc/zmz010+1.0,US,Education,M,0.0,White
10.1093/ccc/tcz011+1.0,LB,Education,M,0.0,White
10.1093/ct/qty026+1.0,US,Education,F,0.0,White
10.1093/ccc/tcz040+1.0,NZ,Education,M,0.0,White
10.1093/ct/qty013+1.0,FI,Education,M,0.0,White
10.1093/joc/jqz014+2.0,US,Education,M,0.0,White
10.1093/hcr/hqy019+5.0,US,Education,M,0.0,White
10.1093/jcmc/zmz007+1.0,US,Education,M,3.0,Hispanic
10.1093/ccc/tcz026+2.0,US,Education,F,0.0,White
10.1093/jcmc/zmz016+2.0,US,Education,M,0.0,White
10.1093/joc/jqz034+1.0,US,Education,M,0.0,White
10.1093/joc/jqz027+4.0,US,Education,M,0.0,White
10.1093/jcmc/zmz013+2.0,AU,Education,M,0.0,White
10.1093/jcmc/zmz008+1.0,DE,Education,F,0.0,White
10.1093/hcr/hqy019+2.0,DE,Education,F,0.0,White
10.1093/ct/qty033+1.0,US,Education,F,0.0,White
10.1093/joc/jqz023+1.0,SG,Education,F,2.0,Asian
10.1093/hcr/hqy019+6.0,US,Education,F,0.0,White
10.1093/ccc/tcz014+1.0,GB,Education,F,0.0,White
10.1093/jcmc/zmz015+3.0,NL,Non Education,M,0.0,White
10.1093/hcr/hqz005+2.0,JP,Education,F,2.0,Asian
10.1093/ct/qty019+2.0,US,Education,M,2.0,Asian
10.1093/joc/jqz023+2.0,US,Education,M,2.0,Asian
10.1093/joc/jqz035+2.0,US,Education,M,0.0,White
10.1093/joc/jqz027+2.0,JP,Education,M,0.0,White
10.1093/ct/qtz013+1.0,US,Education,M,0.0,White
10.1093/jcmc/zmz011+1.0,US,Education,M,0.0,White
10.1093/jcmc/zmy024+2.0,IL,Education,M,3.0,Hispanic
10.1093/joc/jqz006+1.0,DK,Education,M,0.0,White
10.1093/ccc/tcz010+1.0,US,Education,F,0.0,White
10.1093/hcr/hqz001+2.0,US,Education,M,0.0,White
10.1093/ct/qty031+1.0,GB,Education,M,0.0,White
10.1093/ct/qty033+3.0,US,Education,M,0.0,White
10.1093/joc/jqz034+3.0,US,Education,M,2.0,Asian
10.1093/jcmc/zmz011+2.0,US,Education,F,0.0,White
10.1093/hcr/hqy017+2.0,US,Education,M,2.0,Asian
10.1093/joc/jqz039+1.0,US,Education,M,0.0,White
10.1093/ccc/tcz007+2.0,US,Education,F,0.0,White
10.1093/ccc/tcz028+1.0,GB,Education,F,0.0,White
10.1093/hcr/hqy016+3.0,NL,Education,F,0.0,White
10.1093/joc/jqz035+1.0,US,Education,F,0.0,White
10.1093/ct/qty032+1.0,US,Education,F,0.0,White
10.1093/ccc/tcz015+1.0,US,Education,F,0.0,White
10.1093/jcmc/zmz014+1.0,NL,Education,F,0.0,White
10.1093/joc/jqz033+2.0,US,Education,F,0.0,White
10.1093/joc/jqz033+7.0,US,Education,M,0.0,White
10.1093/hcr/hqz004+2.0,AT,Education,M,0.0,White
10.1093/hcr/hqy016+2.0,NL,Education,F,0.0,White
10.1093/ccc/tcz008+1.0,US,Education,F,2.0,Asian
10.1093/jcmc/zmz016+6.0,US,Education,M,0.0,White
10.1093/jcmc/zmz012+2.0,US,Education,F,0.0,White
10.1093/hcr/hqy017+1.0,US,Education,F,2.0,Asian
10.1093/ct/qty033+2.0,US,Education,F,0.0,White
10.1093/ccc/tcz007+1.0,US,Education,F,0.0,White
10.1093/jcmc/zmy021+1.0,GE,Education,F,2.0,Asian
10.1093/ccc/tcz038+1.0,US,Education,M,0.0,White
10.1093/ct/qtz001+1.0,US,Education,M,0.0,White
10.1093/hcr/hqz010+1.0,US,Education,M,2.0,Asian
10.1093/ccc/tcz026+1.0,CA,Education,F,0.0,White
10.1093/hcr/hqz005+5.0,US,Education,M,0.0,White
10.1093/ccc/tcz001+1.0,US,Education,M,0.0,White
10.1093/jcmc/zmy012+1.0,PH,Education,F,0.0,White
10.1093/ccc/tcy009+1.0,US,Education,M,0.0,White
10.1093/joc/jqy043+1.0,US,Education,M,0.0,White
10.1093/ccc/tcy017+2.0,US,Education,F,0.0,White
10.1093/jcmc/zmy005+1.0,US,Education,F,3.0,Hispanic
10.1093/jcmc/zmy014+1.0,NL,Education,M,0.0,White
10.1093/jcmc/zmy002+2.0,US,Education,F,0.0,White
10.1093/jcmc/zmy020+2.0,DE,Education,M,0.0,White
10.1093/joc/jqy062+3.0,NL,Education,F,0.0,White
10.1093/ccc/tcx003+1.0,US,Education,F,0.0,White
10.1093/ccc/tcy026+1.0,US,Education,F,0.0,White
