doi,url,year,title,journal,datePublished,authorFullName,firstName,lastName,numberOfAuthors,authorPosition,affiliation
10.1093/ccc/tcab062,https://academic.oup.com/ccc/article/15/1/52/6406429,2022,News Fixers at the Digital Interface: Precarious Labor and International Journalism in the 21st Century,"Communication, Culture and Critique",2021-10-20,Lindsay Palmer,Lindsay,Palmer,1.0,1.0,"School of Journalism and Mass Communication UW-Madison , WI 53706,  USA"
10.1093/ccc/tcab032,https://academic.oup.com/ccc/article/15/1/69/6309719,2022,Prison Tech: Imagining the Prison as Lagging Behind and as a Test Bed for Technology Advancement,"Communication, Culture and Critique",2021-06-25,Anne Kaun,Anne,Kaun,2.0,1.0,"Media and Communication Studies, Södertörn University , Stockholm 14189,  Sweden"
10.1093/ccc/tcab032,https://academic.oup.com/ccc/article/15/1/69/6309719,2022,Prison Tech: Imagining the Prison as Lagging Behind and as a Test Bed for Technology Advancement,"Communication, Culture and Critique",2021-06-25,Fredrik Stiernstedt,Fredrik,Stiernstedt,2.0,2.0,"Media and Communication Studies, Södertörn University , Stockholm 14189,  Sweden"
10.1093/ccc/tcab049,https://academic.oup.com/ccc/article/15/1/84/6359435,2022,The Robert Capa Myth: Hegemonic Masculinity in Photojournalism’s Professional Indoctrination,"Communication, Culture and Critique",2021-08-30,Christopher T Assaf,Christopher,Assaf,2.0,1.0,"The School of Journalism &amp; Media, The University of Texas at Austin ,  USA"
10.1093/ccc/tcab049,https://academic.oup.com/ccc/article/15/1/84/6359435,2022,The Robert Capa Myth: Hegemonic Masculinity in Photojournalism’s Professional Indoctrination,"Communication, Culture and Critique",2021-08-30,Mary Angela Bock,Mary,Bock,2.0,2.0,"The School of Journalism &amp; Media, The University of Texas at Austin ,  USA"
10.1093/ccc/tcab047,https://academic.oup.com/ccc/article/14/4/551/6333480,2021,“K-pop is Rupturing Chilean Society”: Fighting With Globalized Objects in Localized Conflicts,"Communication, Culture and Critique",2021-08-01,Camilo Diaz Pino,Camilo,Pino,1.0,1.0,"Department of Communication and Media, West Chester University, Philadelphia , PA 19128,  USA"
10.1093/ccc/tcab050,https://academic.oup.com/ccc/article/14/4/568/6371329,2021,Between Commerciality and Authenticity: The Imaginary of Social Media Influencers in the Platform Economy,"Communication, Culture and Critique",2021-09-16,Arturo Arriagada,Arturo,Arriagada,2.0,1.0,"School of Communications and Journalism, Universidad Adolfo Ibáñez , Santiago, Diagonal Las Torres 2700, 7941169,  Chile"
10.1093/ccc/tcab050,https://academic.oup.com/ccc/article/14/4/568/6371329,2021,Between Commerciality and Authenticity: The Imaginary of Social Media Influencers in the Platform Economy,"Communication, Culture and Critique",2021-09-16,Sophie Bishop,Sophie,Bishop,2.0,2.0,"School of Management, Cultural and Creative Industries, University of Sheffield, Western Bank, Sheffield, S10 2TN, UK"
10.1093/ccc/tcab048,https://academic.oup.com/ccc/article/14/4/587/6356821,2021,Composing an Oppositional Discourse in Coke Studio Pakistan,"Communication, Culture and Critique",2021-08-24,Ryan A D’Souza,Ryan,D’Souza,1.0,1.0,"Department of Art, Design &amp; Communication, Chatham University , PA,  USA"
10.1093/ccc/tcab052,https://academic.oup.com/ccc/article/14/4/604/6370652,2021,Enshrining Terror for the Nation: Affect and Nationalism at the National September 11 Memorial and Museum,"Communication, Culture and Critique",2021-09-15,Tim Gruenewald,Tim,Gruenewald,1.0,1.0,"The University of Hong Kong, Hong Kong Island ,  Hong Kong"
10.1093/ccc/tcab046,https://academic.oup.com/ccc/article/14/4/622/6333490,2021,“The Year of the Cheerleader Lawsuits”: Paradoxical Sensemaking and Postfeminism in Reporting on Gender-Based Harassment,"Communication, Culture and Critique",2021-08-01,Caitlyn M Jarvis,Caitlyn,Jarvis,2.0,1.0,"Communication Studies, Northeastern University , 360 Huntington Avenue, 212A Lake Hall Boston, MA 02115,  USA"
10.1093/ccc/tcab046,https://academic.oup.com/ccc/article/14/4/622/6333490,2021,“The Year of the Cheerleader Lawsuits”: Paradoxical Sensemaking and Postfeminism in Reporting on Gender-Based Harassment,"Communication, Culture and Critique",2021-08-01,Jessica R Welch,Jessica,Welch,2.0,2.0,"Humanities and Communication Department, Embry-Riddle Aeronautical University, College of Arts and Sciences, Office 201.07, 1 Aerospace Blvd. Daytona Beach, FL 32114, USA"
10.1093/ccc/tcab033,https://academic.oup.com/ccc/article/14/4/639/6308225,2021,“My Money and My Heart”: Buying a Birkin and Boundary Work Online,"Communication, Culture and Critique",2021-06-23,Jordan Foster,Jordan,Foster,1.0,1.0,"Department of Sociology, University of Toronto, 725 Spadina Avenue, Toronto M5S 2J4 ,  Canada"
10.1093/ccc/tcab054,https://academic.oup.com/ccc/article/14/4/657/6370039,2021,Prying the Doors Open: Women of Color Mentoring in the Field of Communication,"Communication, Culture and Critique",2021-09-14,Manoucheka Celeste,Manoucheka,Celeste,2.0,1.0,"Center for Gender, Sexualities &amp; Women's Studies Research, University of Florida , Gainesville, FL, 32611,  USA"
10.1093/ccc/tcab054,https://academic.oup.com/ccc/article/14/4/657/6370039,2021,Prying the Doors Open: Women of Color Mentoring in the Field of Communication,"Communication, Culture and Critique",2021-09-14,Ralina L Joseph,Ralina,Joseph,2.0,2.0,"Communication Department, University of Washington , Seattle, Seattle, WA, 98195,  USA"
10.1093/ccc/tcab056,https://academic.oup.com/ccc/article/14/4/663/6372795,2021,Mentorship and Relationality,"Communication, Culture and Critique",2021-09-20,Clementine Bordeaux,Clementine,Bordeaux,1.0,1.0,"World Arts and Cultures/Dance, University of California , Los Angeles, 90095,  USA"
10.1093/ccc/tcab061,https://academic.oup.com/ccc/article/14/4/668/6378266,2021,"Mentorship, Critical Autoethnography and the Practices of Self-Reflexivity: Investing in an Academy that Does Not Yet Exist","Communication, Culture and Critique",2021-09-30,María Elena Cepeda,María,Cepeda,1.0,1.0,"Latina/o Studies, Williams College , Williamstown, MA 01267,  USA"
10.1093/ccc/tcab051,https://academic.oup.com/ccc/article/14/4/675/6369409,2021,Assessing Programmatic Mentoring: Requiem for Carmen,"Communication, Culture and Critique",2021-09-13,Robin R Means Coleman,Robin,Coleman,2.0,1.0,"School of Communication and Office of Institutional, Diversity and Inclusion, Northwestern University, Evanston, IL 60201, USA"
10.1093/ccc/tcab051,https://academic.oup.com/ccc/article/14/4/675/6369409,2021,Assessing Programmatic Mentoring: Requiem for Carmen,"Communication, Culture and Critique",2021-09-13,Jennifer McGee Reyes,Jennifer,Reyes,2.0,2.0,"Office for Diversity, Texas A&amp;M University, College Station, TX 77843, USA"
10.1093/ccc/tcab057,https://academic.oup.com/ccc/article/14/4/682/6375714,2021,Unmasking the Strongblackwoman in Mentoring,"Communication, Culture and Critique",2021-09-27,Aisha Durham,Aisha,Durham,1.0,1.0,"Department of Communication, University of South Florida , FL 33602,  USA"
10.1093/ccc/tcab058,https://academic.oup.com/ccc/article/14/4/687/6372792,2021,Mentoring at the Boundary: Interdisciplinarity and the International Student of Color in Communication,"Communication, Culture and Critique",2021-09-20,Madhavi Murty,Madhavi,Murty,1.0,1.0,"Feminist Studies, University of California , Santa Cruz 95064,  USA"
10.1093/ccc/tcab055,https://academic.oup.com/ccc/article/14/4/692/6371849,2021,Intersectionality and Mentoring as Organic Praxis: When Feminist Killjoys are Too Hot to be Mentors,"Communication, Culture and Critique",2021-09-17,Angharad N Valdivia,Angharad,Valdivia,1.0,1.0,
10.1093/ccc/tcab007,https://academic.oup.com/ccc/article/14/3/385/6184822,2021,Making #BlackLivesMatter in the Shadow of Selma: Collective Memory and Racial Justice Activism in U.S. News,"Communication, Culture and Critique",2021-03-24,Sarah J Jackson,Sarah,Jackson,1.0,1.0,"Annenberg School for Communication, University of Pennsylvania , Philadelphia 19104, PA,  USA"
10.1093/ccc/tcab002,https://academic.oup.com/ccc/article/14/3/405/6168484,2021,Depoliticizing Politics: Egypt’s Media Boycotts in the Turkish Media,"Communication, Culture and Critique",2021-03-11,Yeşim Kaptan,Yeşim,Kaptan,2.0,1.0,"School of Communication Studies, Kent State University , Kent, OH 44242,  USA"
10.1093/ccc/tcab002,https://academic.oup.com/ccc/article/14/3/405/6168484,2021,Depoliticizing Politics: Egypt’s Media Boycotts in the Turkish Media,"Communication, Culture and Critique",2021-03-11,Marwan M Kraidy,Marwan,Kraidy,2.0,2.0,"The Anthony Shadid Chair in Global Media, Politics &amp; Culture, Northwestern University , Doha, Qatar"
10.1093/ccc/tcab005,https://academic.oup.com/ccc/article/14/3/422/6146686,2021,"“It’s a Man Thing, Gina”: Watching Gender in Martin","Communication, Culture and Critique",2021-02-23,Patrick Johnson,Patrick,Johnson,1.0,1.0,"American Multicultural Studies, Sonoma State University , Rohnert Park, CA 94928,  USA"
10.1093/ccc/tcab006,https://academic.oup.com/ccc/article/14/3/438/6169396,2021,"“Famous, Beloved, Reviled, Respected, Feared, Celebrated:” Media Construction of Greta Thunberg","Communication, Culture and Critique",2021-03-13,Emily D Ryalls,Emily,Ryalls,2.0,1.0,"Interdisciplinary Studies in the Liberal Arts California Polytechnic State University San Luis Obispo, CA, 93407, USA"
10.1093/ccc/tcab006,https://academic.oup.com/ccc/article/14/3/438/6169396,2021,"“Famous, Beloved, Reviled, Respected, Feared, Celebrated:” Media Construction of Greta Thunberg","Communication, Culture and Critique",2021-03-13,Sharon R Mazzarella,Sharon,Mazzarella,2.0,2.0,"School of Communication Studies, James Madison University , Harrisonburg, VA 22807, USA"
10.1093/ccc/tcab030,https://academic.oup.com/ccc/article/14/3/454/6296962,2021,Talking Through Race: Two Raced Women’s Tinder Stories,"Communication, Culture and Critique",2021-06-11,Jin Lee,Jin,Lee,1.0,1.0,"Internet Studies, Curtin University, Bentley WA 6102 ,  Australia"
10.1093/ccc/tcab031,https://academic.oup.com/ccc/article/14/3/471/6294031,2021,"The Angel as Wish Image: Justin Bieber, Popular Culture, and the Politics of Absolution","Communication, Culture and Critique",2021-06-05,Clare O’Connor,Clare,O’Connor,1.0,1.0,"Annenberg School of Communication, University of Southern California, Los Angeles , CA 90018,  USA"
10.1093/ccc/tcab042,https://academic.oup.com/ccc/article/14/3/487/6308631,2021,"Introduction to the Special Issue Forum “Digital Cultures of South Asia: Inequalities, Informatization, Infrastructures”","Communication, Culture and Critique",2021-06-24,Kalyani Chadha,Kalyani,Chadha,3.0,1.0,"Medill School of Journalism, Media, Integrated Marketing Communications, Northwestern University , Chicago, IL 60208,  USA"
10.1093/ccc/tcab042,https://academic.oup.com/ccc/article/14/3/487/6308631,2021,"Introduction to the Special Issue Forum “Digital Cultures of South Asia: Inequalities, Informatization, Infrastructures”","Communication, Culture and Critique",2021-06-24,Sangeet Kumar,Sangeet,Kumar,3.0,2.0,"Department of Communication, Denison University, Granville, OH 43023, USA"
10.1093/ccc/tcab042,https://academic.oup.com/ccc/article/14/3/487/6308631,2021,"Introduction to the Special Issue Forum “Digital Cultures of South Asia: Inequalities, Informatization, Infrastructures”","Communication, Culture and Critique",2021-06-24,Radhika Parameswaran,Radhika,Parameswaran,3.0,3.0,"The Media School, Indiana University , Bloomington, IN 47405,  USA"
10.1093/ccc/tcab034,https://academic.oup.com/ccc/article/14/3/491/6307065,2021,Shadow Politics: Front Stage and the Veneer of Volunteerism,"Communication, Culture and Critique",2021-06-21,Sahana Udupa,Sahana,Udupa,1.0,1.0,"Ludwig-Maximilians-Universität München ,  Germany"
10.1093/ccc/tcab039,https://academic.oup.com/ccc/article/14/3/497/6323966,2021,Chronicles of a Meme Foretold: Political Memes as Folk Memory in India,"Communication, Culture and Critique",2021-07-19,Anirban K Baishya,Anirban,Baishya,1.0,1.0,"Department of Communication and Media Studies, Fordham University , New York, NY 10023,  USA"
10.1093/ccc/tcab041,https://academic.oup.com/ccc/article/14/3/507/6308209,2021,Democratizing the Op-Ed: Anti-Caste Counterpublics &amp; the Mainstream News,"Communication, Culture and Critique",2021-06-23,Pallavi Rao,Pallavi,Rao,1.0,1.0,"Media School, Indiana University, Bloomington, IN 47408, USA"
10.1093/ccc/tcab038,https://academic.oup.com/ccc/article/14/3/513/6309718,2021,Vernacular Discourses of Disruption in Alternative Digital Space,"Communication, Culture and Critique",2021-06-25,Purba Das,Purba,Das,1.0,1.0,"School of Communication Studies, Ohio University, Southern Campus Ironton , Ohio,  USA"
10.1093/ccc/tcab035,https://academic.oup.com/ccc/article/14/3/518/6307130,2021,Climate Strikes in Millennial India: Social Capital and “On-Ground” Networks in Digital-First Movements,"Communication, Culture and Critique",2021-06-21,Aasim Khan,Aasim,Khan,3.0,1.0,"Department of Social Sciences and Humanities, IIIT-Delhi"
10.1093/ccc/tcab035,https://academic.oup.com/ccc/article/14/3/518/6307130,2021,Climate Strikes in Millennial India: Social Capital and “On-Ground” Networks in Digital-First Movements,"Communication, Culture and Critique",2021-06-21,Sarayu Natarajan,Sarayu,Natarajan,3.0,2.0,Aapti Institute
10.1093/ccc/tcab035,https://academic.oup.com/ccc/article/14/3/518/6307130,2021,Climate Strikes in Millennial India: Social Capital and “On-Ground” Networks in Digital-First Movements,"Communication, Culture and Critique",2021-06-21,Sakshi Bhalla,Sakshi,Bhalla,3.0,3.0,"Institute of Communications Research, University of Illinois at Urbana-Champaign ,  USA"
10.1093/ccc/tcab036,https://academic.oup.com/ccc/article/14/3/524/6307131,2021,Media Censorship: Obscuring Autocracy and Hindutva-ideology in Indian Governance,"Communication, Culture and Critique",2021-06-21,Smith Mehta,Smith,Mehta,2.0,1.0,"Digital Media Research Centre, Queensland University of Technology , Kelvin Grove, QLD 4101,  Australia"
10.1093/ccc/tcab036,https://academic.oup.com/ccc/article/14/3/524/6307131,2021,Media Censorship: Obscuring Autocracy and Hindutva-ideology in Indian Governance,"Communication, Culture and Critique",2021-06-21,D Bondy Valdovinos Kaye,Bondy,Kaye,2.0,2.0,"Digital Media Research Centre, Queensland University of Technology , Kelvin Grove, QLD 4101,  Australia"
10.1093/ccc/tcab037,https://academic.oup.com/ccc/article/14/3/529/6308630,2021,Digital Pitfalls: The Politics of Digitalization in Bangladesh,"Communication, Culture and Critique",2021-06-24,Abdul Aziz,Abdul,Aziz,1.0,1.0,"Digital Media Research Centre, Queensland University of Technology , Kelvin Grove, QLD 4059,  Australia"
10.1093/ccc/tcab043,https://academic.oup.com/ccc/article/14/3/534/6309720,2021,Hyper-Local Digital News Platforms in Eastern India: A Dynamic Space for Regional Language Media Culture,"Communication, Culture and Critique",2021-06-25,Mrinal Chatterjee,Mrinal,Chatterjee,2.0,1.0,"OdishaIndian Institute of Mass Communication , Dhenkanal, Odisha 759001,  India"
10.1093/ccc/tcab043,https://academic.oup.com/ccc/article/14/3/534/6309720,2021,Hyper-Local Digital News Platforms in Eastern India: A Dynamic Space for Regional Language Media Culture,"Communication, Culture and Critique",2021-06-25,Sambit Pal,Sambit,Pal,2.0,2.0,"OdishaIndian Institute of Mass Communication , Dhenkanal, Odisha 759001,  India"
10.1093/ccc/tcab044,https://academic.oup.com/ccc/article/14/3/539/6308632,2021,Coalitions of Socio-Technical Infrastructure: Platforms as Essential Services,"Communication, Culture and Critique",2021-06-24,Aditi Surie,Aditi,Surie,1.0,1.0,"Department of Environmental and Geographical Sciences, University of Cape Town,  Academics and Research, Indian Institute for Human Settlements, 197/36, 2nd Main Road, Sadashivanagar, Bengaluru 560 080,  India"
10.1093/ccc/tcab040,https://academic.oup.com/ccc/article/14/3/545/6308208,2021,Book Interview for The Digital Frontier: Infrastructures of Control on the Global Web,"Communication, Culture and Critique",2021-06-23,Darshana Sreedhar Mini,Darshana,Mini,1.0,1.0,"Department of Communication, University of Wisconsin , Madison, WI 53706,  USA"
10.1093/ccc/tcaa033,https://academic.oup.com/ccc/article/14/2/201/6091177,2021,Instagramming Diasporic Mobilities: The Black Travel Movement and Differential Spatial Racialization,"Communication, Culture and Critique",2021-01-13,Charnell Peters,Charnell,Peters,1.0,1.0,"Department of Communication, University of Utah , Salt Lake City, UT 84112,  USA"
10.1093/ccc/tcab004,https://academic.oup.com/ccc/article/14/2/220/6168586,2021,The Bully Pulpit: trolling the trolls with polysemous monstrosity,"Communication, Culture and Critique",2021-03-08,Madison Snider,Madison,Snider,1.0,1.0,"Department of Communication, University of Washington , Seattle, WA 98195,  USA"
10.1093/ccc/tcab003,https://academic.oup.com/ccc/article/14/2/237/6144803,2021,Pitchfork’s authenticity problem: the critical reception of Vampire Weekend and Lil Wayne,"Communication, Culture and Critique",2021-02-19,Margaret Murray,Margaret,Murray,1.0,1.0,"Language, Culture, and Communication, University of Michigan-Dearborn , Dearborn, MI 48128,  USA"
10.1093/ccc/tcab001,https://academic.oup.com/ccc/article/14/2/252/6145895,2021,Beyond the Meaning of Zines: A Case Study of the Role of Materiality in four Prague-Based Zine Assemblages,"Communication, Culture and Critique",2021-02-21,Miloš Hroch,Miloš,Hroch,2.0,1.0,"Institute of Communication Studies and Journalism, Department of Media Studies, Charles University, Prague, Smetanovo nábř. 6, 111 00, Czech Republic"
10.1093/ccc/tcab001,https://academic.oup.com/ccc/article/14/2/252/6145895,2021,Beyond the Meaning of Zines: A Case Study of the Role of Materiality in four Prague-Based Zine Assemblages,"Communication, Culture and Critique",2021-02-21,Nico Carpentier,Nico,Carpentier,2.0,2.0,"Institute of Communication Studies and Journalism, Department of Media Studies, Charles University, Prague, Smetanovo nábř. 6, 111 00, Czech Republic"
10.1093/ccc/tcaa034,https://academic.oup.com/ccc/article/14/2/274/6104024,2021,Anticipatory Futures: Framing the Socio-technical Visions of Online Ratings and Reviews in Wired,"Communication, Culture and Critique",2021-01-18,Ngai Keung Chan,Ngai,Chan,1.0,1.0,"Department of Communication, Cornell University, Ithaca, NY 14850-4301, USA"
10.1093/ccc/tcab009,https://academic.oup.com/ccc/article/14/2/293/6202977,2021,The Political Economy of an Academic,"Communication, Culture and Critique",2021-04-06,Ryan A D’Souza,Ryan,D’Souza,1.0,1.0,"M6J 3S8, Toronto ,  Canada"
10.1093/ccc/tcab013,https://academic.oup.com/ccc/article/14/2/297/6225942,2021,Pandemic Panic on the Tenure Track: Why Early Career Scholars Need Transformative Support After COVID-19,"Communication, Culture and Critique",2021-04-14,Stephanie Medden,Stephanie,Medden,1.0,1.0,"Department of English and Media Studies, Bentley University, Waltham, MA 02452, USA"
10.1093/ccc/tcab027,https://academic.oup.com/ccc/article/14/2/301/6248200,2021,Academic Caregivers on Organizational and Community Resilience in Academia (Fuck Individual Resilience),"Communication, Culture and Critique",2021-04-24,Sun Joo (Grace) Ahn,Sun,Ahn,7.0,1.0,"Grady College of Journalism &amp; Mass Communication, University of Georgia , Athens, GA 30602"
10.1093/ccc/tcab027,https://academic.oup.com/ccc/article/14/2/301/6248200,2021,Academic Caregivers on Organizational and Community Resilience in Academia (Fuck Individual Resilience),"Communication, Culture and Critique",2021-04-24,Emily T Cripe,Emily,Cripe,7.0,2.0,"Department of Communication Studies, Kutztown University of Pennsylvania , Kutztown, PA 19530"
10.1093/ccc/tcab027,https://academic.oup.com/ccc/article/14/2/301/6248200,2021,Academic Caregivers on Organizational and Community Resilience in Academia (Fuck Individual Resilience),"Communication, Culture and Critique",2021-04-24,Brooke Foucault Welles,Brooke,Welles,7.0,3.0,"Department of Communication Studies, Northeastern University , Boston, MA 02115"
10.1093/ccc/tcab027,https://academic.oup.com/ccc/article/14/2/301/6248200,2021,Academic Caregivers on Organizational and Community Resilience in Academia (Fuck Individual Resilience),"Communication, Culture and Critique",2021-04-24,Shannon C McGregor,Shannon,McGregor,7.0,4.0,"University of North Carolina , Hussman School of Journalism and Media, Chapel Hill, NC 27599"
10.1093/ccc/tcab027,https://academic.oup.com/ccc/article/14/2/301/6248200,2021,Academic Caregivers on Organizational and Community Resilience in Academia (Fuck Individual Resilience),"Communication, Culture and Critique",2021-04-24,Katy E Pearce,Katy,Pearce,7.0,5.0,"Department of Communication, University of Washington , Seattle, WA 98195"
