doi,url,year,title,paperType,journal,datePublished,keywords
10.1093/ccc/tcac019,https://academic.oup.com/ccc/article/15/2/290/6572110,2022,Migration and the Deep Time of Media Infrastructures,ScholarlyArticle,"Communication, Culture and Critique",2022-04-21,"deep time, media infrastructures, migration infrastructures, media archaeology, materialities, practices, imaginaries"
10.1093/ccc/tcac025,https://academic.oup.com/ccc/article/15/2/298/6594330,2022,Correction,ScholarlyArticle,"Communication, Culture and Critique",2022-05-27,
10.1093/ccc/tcab064,https://academic.oup.com/ccc/article/15/1/1/6446125,2022,Mapping Interventions: Toward a Decolonial and Indigenous Praxis across Communication Subfields,ScholarlyArticle,"Communication, Culture and Critique",2021-11-29,"decolonial, epistemology, Indigenous, organizational communication, rhetoric"
10.1093/ccc/tcab065,https://academic.oup.com/ccc/article/15/1/21/6498864,2022,"Home Economics: Sitcom Capitalism, Conservative Comedy, and Media Conglomeration in Post-Network Television",ScholarlyArticle,"Communication, Culture and Critique",2021-01-06,"broadcasting, culture and politics, media political economy, popular culture, television"
10.1093/ccc/tcab045,https://academic.oup.com/ccc/article/15/1/36/6335759,2022,(De/Re)Constructing LGBT Characters in Latin America: The Implications of Mexican Dubbing for Translating Marginalized Identities,ScholarlyArticle,"Communication, Culture and Critique",2021-08-02,"Audiovisual Translation, Dubbing, Mexico, Latin America, Television, lesbian, gay, bisexual, and transgender (LGBT)"
10.1093/ccc/tcab062,https://academic.oup.com/ccc/article/15/1/52/6406429,2022,News Fixers at the Digital Interface: Precarious Labor and International Journalism in the 21st Century,ScholarlyArticle,"Communication, Culture and Critique",2021-10-20,"critical theory of media, digital media practice and theory, international communication, international news flow, journalism, journalistic practice, postcolonial criticism"
10.1093/ccc/tcab032,https://academic.oup.com/ccc/article/15/1/69/6309719,2022,Prison Tech: Imagining the Prison as Lagging Behind and as a Test Bed for Technology Advancement,ScholarlyArticle,"Communication, Culture and Critique",2021-06-25,"Prisons, Prison Technologies, Real-Life Labs, Technology Development, Sociotechnical Imaginaries"
10.1093/ccc/tcab049,https://academic.oup.com/ccc/article/15/1/84/6359435,2022,The Robert Capa Myth: Hegemonic Masculinity in Photojournalism’s Professional Indoctrination,ScholarlyArticle,"Communication, Culture and Critique",2021-08-30,"masculinity, myth, photojournalism, textual analysis, war journalism"
10.1093/ccc/tcab047,https://academic.oup.com/ccc/article/14/4/551/6333480,2021,“K-pop is Rupturing Chilean Society”: Fighting With Globalized Objects in Localized Conflicts,ScholarlyArticle,"Communication, Culture and Critique",2021-08-01,"K-pop, Protest, Neoliberalism, Chile, Latin America, Media Circulation, Global South, Cultural Flow"
10.1093/ccc/tcab050,https://academic.oup.com/ccc/article/14/4/568/6371329,2021,Between Commerciality and Authenticity: The Imaginary of Social Media Influencers in the Platform Economy,ScholarlyArticle,"Communication, Culture and Critique",2021-09-16,"social media, influencers, Instagram, consumer culture, authenticity, Chile"
10.1093/ccc/tcab048,https://academic.oup.com/ccc/article/14/4/587/6356821,2021,Composing an Oppositional Discourse in Coke Studio Pakistan,ScholarlyArticle,"Communication, Culture and Critique",2021-08-24,"Cultural Studies, Ethnomusicology, Feminist Media Studies, Postcolonial Criticism, South Asian Popular Culture"
10.1093/ccc/tcab052,https://academic.oup.com/ccc/article/14/4/604/6370652,2021,Enshrining Terror for the Nation: Affect and Nationalism at the National September 11 Memorial and Museum,ScholarlyArticle,"Communication, Culture and Critique",2021-09-15,"affective rhetoric, affect, terror, September 11, memory, nationalism, memorial, museum"
10.1093/ccc/tcab046,https://academic.oup.com/ccc/article/14/4/622/6333490,2021,“The Year of the Cheerleader Lawsuits”: Paradoxical Sensemaking and Postfeminism in Reporting on Gender-Based Harassment,ScholarlyArticle,"Communication, Culture and Critique",2021-08-01,"Sensemaking, Postfeminism, Media Culture, Cheerleading, News Media"
10.1093/ccc/tcab033,https://academic.oup.com/ccc/article/14/4/639/6308225,2021,“My Money and My Heart”: Buying a Birkin and Boundary Work Online,ScholarlyArticle,"Communication, Culture and Critique",2021-06-23,"Consumption, Culture, Conspicuous Consumption, Boundaries, Emotions"
10.1093/ccc/tcab054,https://academic.oup.com/ccc/article/14/4/657/6370039,2021,Prying the Doors Open: Women of Color Mentoring in the Field of Communication,ScholarlyArticle,"Communication, Culture and Critique",2021-09-14,"mentoring, women of color, racism, sexism, misogynoir, invisible labor"
10.1093/ccc/tcab056,https://academic.oup.com/ccc/article/14/4/663/6372795,2021,Mentorship and Relationality,ScholarlyArticle,"Communication, Culture and Critique",2021-09-20,"mentorship, Indigenous/ethnic/linguistic minorities, Indigenous studies, relationality, self-reflexivity"
10.1093/ccc/tcab061,https://academic.oup.com/ccc/article/14/4/668/6378266,2021,"Mentorship, Critical Autoethnography and the Practices of Self-Reflexivity: Investing in an Academy that Does Not Yet Exist",ScholarlyArticle,"Communication, Culture and Critique",2021-09-30,"Autoethnography, Disability, Feminist, Immigration, Mentorship"
10.1093/ccc/tcab051,https://academic.oup.com/ccc/article/14/4/675/6369409,2021,Assessing Programmatic Mentoring: Requiem for Carmen,ScholarlyArticle,"Communication, Culture and Critique",2021-09-13,"Mentoring, Faculty, Retention, Women, Race/ethnicity, Assessment, Diversity"
10.1093/ccc/tcab057,https://academic.oup.com/ccc/article/14/4/682/6375714,2021,Unmasking the Strongblackwoman in Mentoring,ScholarlyArticle,"Communication, Culture and Critique",2021-09-27,"mentoring, strongblackwoman (SBW), controlling image, misogynoir,  discrimination in higher education"
10.1093/ccc/tcab058,https://academic.oup.com/ccc/article/14/4/687/6372792,2021,Mentoring at the Boundary: Interdisciplinarity and the International Student of Color in Communication,ScholarlyArticle,"Communication, Culture and Critique",2021-09-20,"Mentoring, Communication, International Scholar, Community, Scholars of Color"
10.1093/ccc/tcab055,https://academic.oup.com/ccc/article/14/4/692/6371849,2021,Intersectionality and Mentoring as Organic Praxis: When Feminist Killjoys are Too Hot to be Mentors,ScholarlyArticle,"Communication, Culture and Critique",2021-09-17,
10.1093/ccc/tcab007,https://academic.oup.com/ccc/article/14/3/385/6184822,2021,Making #BlackLivesMatter in the Shadow of Selma: Collective Memory and Racial Justice Activism in U.S. News,ScholarlyArticle,"Communication, Culture and Critique",2021-03-24,"Black Lives Matter, Civil Rights Movement, Journalism, Collective Memory, Nostalgia, Counter-Memory, Television News, Race, Protest"
10.1093/ccc/tcab002,https://academic.oup.com/ccc/article/14/3/405/6168484,2021,Depoliticizing Politics: Egypt’s Media Boycotts in the Turkish Media,ScholarlyArticle,"Communication, Culture and Critique",2021-03-11,"Media Boycott, Turkish TV Series, Media Discourse, Egypt, Turkey"
10.1093/ccc/tcab005,https://academic.oup.com/ccc/article/14/3/422/6146686,2021,"“It’s a Man Thing, Gina”: Watching Gender in Martin",ScholarlyArticle,"Communication, Culture and Critique",2021-02-23,"Feminist Media Studies, Blackness, Television, Misogynoir, Audiences"
10.1093/ccc/tcab006,https://academic.oup.com/ccc/article/14/3/438/6169396,2021,"“Famous, Beloved, Reviled, Respected, Feared, Celebrated:” Media Construction of Greta Thunberg",ScholarlyArticle,"Communication, Culture and Critique",2021-03-13,"Greta Thunberg, Climate Change, Autism Spectrum Disorder (ASD), Girl Activists"
10.1093/ccc/tcab030,https://academic.oup.com/ccc/article/14/3/454/6296962,2021,Talking Through Race: Two Raced Women’s Tinder Stories,ScholarlyArticle,"Communication, Culture and Critique",2021-06-11,"Race, Performativity, Identity, Post-Discourses, Sexual Intimacy, Hook Up, Dating App"
10.1093/ccc/tcab031,https://academic.oup.com/ccc/article/14/3/471/6294031,2021,"The Angel as Wish Image: Justin Bieber, Popular Culture, and the Politics of Absolution",ScholarlyArticle,"Communication, Culture and Critique",2021-06-05,"Absolution, Walter Benjamin, Justin Bieber, Neoliberalism, Popular Music, Religion, Wish Image"
10.1093/ccc/tcab042,https://academic.oup.com/ccc/article/14/3/487/6308631,2021,"Introduction to the Special Issue Forum “Digital Cultures of South Asia: Inequalities, Informatization, Infrastructures”",ScholarlyArticle,"Communication, Culture and Critique",2021-06-24,"Digital Culture, South Asia, Postcolonial, Public Sphere, Agency, Surveillance, Control"
10.1093/ccc/tcab034,https://academic.oup.com/ccc/article/14/3/491/6307065,2021,Shadow Politics: Front Stage and the Veneer of Volunteerism,ScholarlyArticle,"Communication, Culture and Critique",2021-06-21,"Shadow Politics, Volunteerism, Digital Politics, Surveillance"
10.1093/ccc/tcab039,https://academic.oup.com/ccc/article/14/3/497/6323966,2021,Chronicles of a Meme Foretold: Political Memes as Folk Memory in India,ScholarlyArticle,"Communication, Culture and Critique",2021-07-19,"Memes, Memory, India, Political Critique, Online Humor, Digital Culture"
10.1093/ccc/tcab041,https://academic.oup.com/ccc/article/14/3/507/6308209,2021,Democratizing the Op-Ed: Anti-Caste Counterpublics &amp; the Mainstream News,ScholarlyArticle,"Communication, Culture and Critique",2021-06-23,"Anti-Caste Op-Eds, Online News Platforms, India, Dalit-Bahujan Marginalized Communities"
10.1093/ccc/tcab038,https://academic.oup.com/ccc/article/14/3/513/6309718,2021,Vernacular Discourses of Disruption in Alternative Digital Space,ScholarlyArticle,"Communication, Culture and Critique",2021-06-25,"Vernacular Discourse, Agency, Digital Video, Dalit Women"
10.1093/ccc/tcab035,https://academic.oup.com/ccc/article/14/3/518/6307130,2021,Climate Strikes in Millennial India: Social Capital and “On-Ground” Networks in Digital-First Movements,ScholarlyArticle,"Communication, Culture and Critique",2021-06-21,"Social Media Activism, Climate Strikes, Class, Hashtags, Twitter"
10.1093/ccc/tcab036,https://academic.oup.com/ccc/article/14/3/524/6307131,2021,Media Censorship: Obscuring Autocracy and Hindutva-ideology in Indian Governance,ScholarlyArticle,"Communication, Culture and Critique",2021-06-21,"Censorship, India, Content Creators, Nationalism, Online Audio-Visual"
10.1093/ccc/tcab037,https://academic.oup.com/ccc/article/14/3/529/6308630,2021,Digital Pitfalls: The Politics of Digitalization in Bangladesh,ScholarlyArticle,"Communication, Culture and Critique",2021-06-24,"Digital Surveillance, Media Censorship, Social Media, Freedom of Expression"
10.1093/ccc/tcab043,https://academic.oup.com/ccc/article/14/3/534/6309720,2021,Hyper-Local Digital News Platforms in Eastern India: A Dynamic Space for Regional Language Media Culture,ScholarlyArticle,"Communication, Culture and Critique",2021-06-25,"Hyperlocal Journalism, Eastern India, Digital Media Platforms, Regional Languages"
10.1093/ccc/tcab044,https://academic.oup.com/ccc/article/14/3/539/6308632,2021,Coalitions of Socio-Technical Infrastructure: Platforms as Essential Services,ScholarlyArticle,"Communication, Culture and Critique",2021-06-24,"Digital Platforms, Platform Power, COVID19 Pandemic, Governance"
10.1093/ccc/tcab040,https://academic.oup.com/ccc/article/14/3/545/6308208,2021,Book Interview for The Digital Frontier: Infrastructures of Control on the Global Web,ScholarlyArticle,"Communication, Culture and Critique",2021-06-23,
10.1093/ccc/tcaa033,https://academic.oup.com/ccc/article/14/2/201/6091177,2021,Instagramming Diasporic Mobilities: The Black Travel Movement and Differential Spatial Racialization,ScholarlyArticle,"Communication, Culture and Critique",2021-01-13,"Instagram, Critical Race Theory (CRT), African American, Space"
10.1093/ccc/tcab004,https://academic.oup.com/ccc/article/14/2/220/6168586,2021,The Bully Pulpit: trolling the trolls with polysemous monstrosity,ScholarlyArticle,"Communication, Culture and Critique",2021-03-08,"Visual Culture, Gender, Body as Communicative/Performances, Feminist Media Studies, Social Networking"
10.1093/ccc/tcab003,https://academic.oup.com/ccc/article/14/2/237/6144803,2021,Pitchfork’s authenticity problem: the critical reception of Vampire Weekend and Lil Wayne,ScholarlyArticle,"Communication, Culture and Critique",2021-02-19,"Pitchfork, Music, Race, Authenticity, Vampire Weekend, Lil Wayne"
10.1093/ccc/tcab001,https://academic.oup.com/ccc/article/14/2/252/6145895,2021,Beyond the Meaning of Zines: A Case Study of the Role of Materiality in four Prague-Based Zine Assemblages,ScholarlyArticle,"Communication, Culture and Critique",2021-02-21,"Discursive-Material Knot, The Material, Post-Digital, Zines, Intermateriality, Transmateriality"
10.1093/ccc/tcaa034,https://academic.oup.com/ccc/article/14/2/274/6104024,2021,Anticipatory Futures: Framing the Socio-technical Visions of Online Ratings and Reviews in Wired,ScholarlyArticle,"Communication, Culture and Critique",2021-01-18,"Expectations, Anticipation, Futures, Ratings, Metrics, Emerging Technologies, Wired"
10.1093/ccc/tcab009,https://academic.oup.com/ccc/article/14/2/293/6202977,2021,The Political Economy of an Academic,ScholarlyArticle,"Communication, Culture and Critique",2021-04-06,
10.1093/ccc/tcab013,https://academic.oup.com/ccc/article/14/2/297/6225942,2021,Pandemic Panic on the Tenure Track: Why Early Career Scholars Need Transformative Support After COVID-19,ScholarlyArticle,"Communication, Culture and Critique",2021-04-14,
10.1093/ccc/tcab027,https://academic.oup.com/ccc/article/14/2/301/6248200,2021,Academic Caregivers on Organizational and Community Resilience in Academia (Fuck Individual Resilience),ScholarlyArticle,"Communication, Culture and Critique",2021-04-24,
10.1093/ccc/tcab023,https://academic.oup.com/ccc/article/14/2/306/6225986,2021,Precarity in the Academy and Solidarity Amidst COVID-19: Resisting Employment Restrictions on International Graduate Students,ScholarlyArticle,"Communication, Culture and Critique",2021-04-24,
10.1093/ccc/tcab022,https://academic.oup.com/ccc/article/14/2/311/6226974,2021,The Burden of Empathy and Blurred Boundaries,ScholarlyArticle,"Communication, Culture and Critique",2021-04-16,
10.1093/ccc/tcab018,https://academic.oup.com/ccc/article/14/2/315/6226973,2021,A Pand(acad)emic Plea for Self-Care and Shorter Hours,ScholarlyArticle,"Communication, Culture and Critique",2021-04-16,
10.1093/ccc/tcab020,https://academic.oup.com/ccc/article/14/2/320/6220372,2021,"This Ain’t So Bad, or, Everything Getting Me Through this Pandemic I Learned from Being Queer",ScholarlyArticle,"Communication, Culture and Critique",2021-04-11,
10.1093/ccc/tcab010,https://academic.oup.com/ccc/article/14/2/324/6259353,2021,Three Vignettes in Pursuit of Accessible Pandemic Teaching,ScholarlyArticle,"Communication, Culture and Critique",2021-04-11,
10.1093/ccc/tcab012,https://academic.oup.com/ccc/article/14/2/328/6213357,2021,Back to Whose “Normal”? Personal Reflections of a Visually-Impaired Academic at a Small South African University,ScholarlyArticle,"Communication, Culture and Critique",2021-04-06,
10.1093/ccc/tcab026,https://academic.oup.com/ccc/article/14/2/332/6214915,2021,ZOOM-in/ZOOM-out Transnational Identities: Crossing the Virtual Borders of Pandemic Teaching Everyday,ScholarlyArticle,"Communication, Culture and Critique",2021-04-08,
10.1093/ccc/tcab011,https://academic.oup.com/ccc/article/14/2/336/6242671,2021,Imagine Other Worlds,ScholarlyArticle,"Communication, Culture and Critique",2021-04-21,
10.1093/ccc/tcab008,https://academic.oup.com/ccc/article/14/2/339/6226971,2021,Popping the Bubble: Escaping the United States in a Pandemic,ScholarlyArticle,"Communication, Culture and Critique",2021-04-16,
10.1093/ccc/tcab019,https://academic.oup.com/ccc/article/14/2/343/6214916,2021,"“Lockdown Within a Lockdown”: The “Digital Redlining” and Paralyzed Online Teaching During COVID-19 in Kashmir, A Conflict Territory",ScholarlyArticle,"Communication, Culture and Critique",2021-04-08,
10.1093/ccc/tcab021,https://academic.oup.com/ccc/article/14/2/347/6226972,2021,"Pandemic Pedagogy, Zoom, and the Surveillant Classroom: The Challenges of Living Our Advocacies in a Pandemic",ScholarlyArticle,"Communication, Culture and Critique",2021-04-16,
10.1093/ccc/tcab024,https://academic.oup.com/ccc/article/14/2/351/6255440,2021,Telecocooning in the age of (im)mobility,ScholarlyArticle,"Communication, Culture and Critique",2021-04-27,
10.1093/ccc/tcab028,https://academic.oup.com/ccc/article/14/2/356/6224211,2021,"Stream(Age) Queens: Zoom-Bombs, Glitter Bombs &amp; Other Doctoral Fairy Tales",ScholarlyArticle,"Communication, Culture and Critique",2021-04-12,
10.1093/ccc/tcab017,https://academic.oup.com/ccc/article/14/2/361/6259354,2021,I Lost All Feeling (But Got it Back): An Essay Account of “Publish or Perish” During COVID-19,ScholarlyArticle,"Communication, Culture and Critique",2021-04-12,
10.1093/ccc/tcab025,https://academic.oup.com/ccc/article/14/2/365/6224210,2021,The Researcher of/in Crisis: Writing Resistances During the Pandemic,ScholarlyArticle,"Communication, Culture and Critique",2021-02-23,
10.1093/ccc/tcab016,https://academic.oup.com/ccc/article/14/2/369/6226026,2021,Examining Inequitable Workload in a Time of Crisis: A COVID-19 “Sabbatical”,ScholarlyArticle,"Communication, Culture and Critique",2021-04-14,
10.1093/ccc/tcab015,https://academic.oup.com/ccc/article/14/2/373/6220371,2021,The Affordances of Interview Research on Zoom: New Intimacies and Active Listening,ScholarlyArticle,"Communication, Culture and Critique",2021-04-11,
10.1093/ccc/tcab014,https://academic.oup.com/ccc/article/14/2/377/6225985,2021,The Pandemic Sabbatical: Writing after Midnight,ScholarlyArticle,"Communication, Culture and Critique",2021-04-14,
10.1093/ccc/tcab029,https://academic.oup.com/ccc/article/14/2/381/6224352,2021,Negotiating Community–Academic–Activist Relationships Amidst the Pandemic,ScholarlyArticle,"Communication, Culture and Critique",2021-04-13,
10.1093/ccc/tcaa036,https://academic.oup.com/ccc/article/14/1/1/6120371,2021,Editor’s Statement,ScholarlyArticle,"Communication, Culture and Critique",2021-01-26,
10.1093/ccc/tcaa013,https://academic.oup.com/ccc/article/14/1/4/5858258,2021,"“We should be addressing whiteness less, and affirming blackness more”: Random Acts of Flyness, Afrosurrealism, and Quality Programming",ScholarlyArticle,"Communication, Culture and Critique",2020-06-17,"Blackness, Quality, HBO, Random Acts of Flyness (RAOF), Afrosurrealism, Self-Reflexivity"
10.1093/ccc/tcaa004,https://academic.oup.com/ccc/article/14/1/20/5856057,2021,Mediating Nostalgia: The Meaning of Ranchera Music at a Mexican Community Radio Station,ScholarlyArticle,"Communication, Culture and Critique",2020-06-11,"Community Radio, Ranchera Music, Migration, Nostalgia, Radio Zapotitlán"
10.1093/ccc/tcaa012,https://academic.oup.com/ccc/article/14/1/37/5857400,2021,Imperial Play,ScholarlyArticle,"Communication, Culture and Critique",2020-06-17,"Video Games, Post-Colonial Theory, Male Gaze, Procedural Rhetoric, Representation, Simulation"
10.1093/ccc/tcaa001,https://academic.oup.com/ccc/article/14/1/52/5850128,2021,“We Act as One Lest We Perish Alone”: A Case Study in Mediated White Nationalist Activism,ScholarlyArticle,"Communication, Culture and Critique",2020-06-02,"White Nationalism, Digital Media, Social Activism, Social Media and Networks, Affect"
10.1093/ccc/tcaa020,https://academic.oup.com/ccc/article/14/1/70/5918413,2021,Neoliberalism From Above and Cosmopolitanism From Below: A Korean-English Meetup Group in the United States,ScholarlyArticle,"Communication, Culture and Critique",2020-10-06,"Cosmopolitanism, Neoliberalism, Korean Wave, Hallyu, Globalization, English in Korea"
10.1093/ccc/tcaa026,https://academic.oup.com/ccc/article/14/1/89/6031396,2021,Beyond “Commercial Realism”: Extending Goffman’s Gender Display Framework to Networked Media Contexts,ScholarlyArticle,"Communication, Culture and Critique",2020-12-11,"Gender and Representation, New Media, Digital Media Practice and Theory, Feminist Media Studies, Social Media, Visual Communication, Advertising"
10.1093/ccc/tcaa025,https://academic.oup.com/ccc/article/14/1/109/6055084,2021,Branding the Geospatial Industry,ScholarlyArticle,"Communication, Culture and Critique",2020-12-29,"Geospatial Technology, Geographical Information Systems (GIS), Platform Economy, Media Industry, Brand Marketing"
10.1093/ccc/tcaa002,https://academic.oup.com/ccc/article/14/1/127/5851647,2021,Infrastructure in the Jungle: Infrastructure and Ideology in the Refugee Camps in Calais and Along the U.S.–Mexico Border,ScholarlyArticle,"Communication, Culture and Critique",2020-06-05,"Infrastructure, Global Migration, Refugees, Liberal Governance"
10.1093/ccc/tcaa035,https://academic.oup.com/ccc/article/14/1/149/6120050,2021,Troll Tracking: Examining Rhetorical Circulation of Anti-Intellectual Ideologies in Right-Wing Media Attacks,ScholarlyArticle,"Communication, Culture and Critique",2021-01-25,"Social Media Attacks, Circulation, Trolling, Anti-Intellectualism, Rhetorical Detachment"
10.1093/ccc/tcaa032,https://academic.oup.com/ccc/article/14/1/166/6062710,2021,“Green Life Matters”: Place and the Politics of Environmental and Commemorative Justice,ScholarlyArticle,"Communication, Culture and Critique",2021-01-04,"Race, Racism, Commemorative Justice, Environmental Justice, Place, Space, Memory"
10.1093/ccc/tcaa021,https://academic.oup.com/ccc/article/14/1/182/6032228,2021,"“The Food Babe Blogger Is Full of Sh*t”: Gender, Class and Branding the “Expert” Self",ScholarlyArticle,"Communication, Culture and Critique",2020-12-12,"Middle Class, Brand Culture, Neoliberalism, Postfeminism, Lifestyle Media, Governmentality, Science"
10.1093/ccc/tcz047,https://academic.oup.com/ccc/article/14/1/200/5624048,2021,"Erratum to: “Trust Us, We’re You”: Aspirational Realness in the Digital Communication of Contemporary Fashion and Beauty Brands",ScholarlyArticle,"Communication, Culture and Critique",2019-11-13,
10.1093/ccc/tcaa022,https://academic.oup.com/ccc/article/13/4/403/5924559,2020,"Media, Affect, and Authoritarian Futures in “New Turkey:” Spectacular Confessions on Television in the Post-Coup Era",ScholarlyArticle,"Communication, Culture and Critique",2020-10-16,"Affect, Television, Confession, Ideology, Secrecy, Politics, Spectacle, Noopolitics"
10.1093/ccc/tcz048,https://academic.oup.com/ccc/article/13/4/422/5834820,2020,Cultivating Empathy and Resonance for Muslim Lives Through Affective Images of the Chapel Hill Victims,ScholarlyArticle,"Communication, Culture and Critique",2020-05-09,"Muslim Americans, Digital Media, Affect, Mourning, Circulation"
10.1093/ccc/tcz036,https://academic.oup.com/ccc/article/13/4/440/5602477,2020,Exhibiting Italianità: Anna Magnani and Sophia Loren as Madri della Patria,ScholarlyArticle,"Communication, Culture and Critique",2019-10-22,"Italianità, National Identity, Rhetoric of Materiality, Cultural Memory, Representation, Cultural Heritage"
10.1093/ccc/tcaa023,https://academic.oup.com/ccc/article/13/4/468/5934851,2020,Love is an Emergency Savings Fund: Suze Orman’s Advice as Affective Discipline,ScholarlyArticle,"Communication, Culture and Critique",2020-10-22,"Post-feminism, Financialization, Cruel Optimism, Affect, Reality Television"
10.1093/ccc/tcz034,https://academic.oup.com/ccc/article/13/4/484/5586911,2020,Digital Unhu in Institute of Creative Arts and Progress in Africa Trust: Digital Integration in Zimbabwean Cultural Production,ScholarlyArticle,"Communication, Culture and Critique",2019-10-14,"Africa/n media, Immaterial Labor, Zimbabwe, Information work/labour, Internet, Postcolonial"
10.1093/ccc/tcz033,https://academic.oup.com/ccc/article/13/4/501/5730340,2020,Above the Action: The Cultural Politics of Watching Dota 2,ScholarlyArticle,"Communication, Culture and Critique",2020-02-13,"Esports, Video Games, Spectatorship, Militainment, Drones, Dota 2, Virilio"
10.1093/ccc/tcz030,https://academic.oup.com/ccc/article/13/4/519/5560009,2020,Gazing at “It”: An Intersectional Analysis of Transnormativity and Black Womanhood in Orange is the New Black,ScholarlyArticle,"Communication, Culture and Critique",2019-09-04,"Transnormativity, Black Womanhood, Hegemonic Femininity, Intersectionality"
10.1093/ccc/tcaa024,https://academic.oup.com/ccc/article/13/4/536/5924584,2020,"Power, Agency and Resistance in Public Relations: A Queer of Color Critique of the Houston Equal Rights Ordinance",ScholarlyArticle,"Communication, Culture and Critique",2020-10-16,"Public Relations, Queer of Color Critique, Activism, Advocacy, Power, Resistance"
10.1093/ccc/tcaa027,https://academic.oup.com/ccc/article/13/4/556/6042605,2020,"Tiger King, Stranger-Than-Fiction, and the Insistence of Reality Television",ScholarlyArticle,"Communication, Culture and Critique",2020-10-21,
10.1093/ccc/tcaa028,https://academic.oup.com/ccc/article/13/4/560/6028886,2020,Tiger King’s Meme-ification of White Grievance and the Normalization of Misogyny,ScholarlyArticle,"Communication, Culture and Critique",2020-12-12,
10.1093/ccc/tcaa031,https://academic.oup.com/ccc/article/13/4/564/6055081,2020,From “Mayo” Pete to Joe Exotic: How Tiger King Taught Us How to be Queer Again,ScholarlyArticle,"Communication, Culture and Critique",2020-12-25,
